Carga Horária,Categoria da Situação,Cor/Raça,Data de Início do Ciclo,Data de Fim Previsto do Ciclo,Faixa Etária,Fator Esforço Curso,Idade,Instituição,Mês de Ocorrência da Situação,Região,Renda Familiar,Sexo,Turno,UF,Unidade de Ensino,dia_inicio_ciclo,mes_inicio_ciclo,ano_inicio_ciclo,dia_fim_ciclo,mes_fim_ciclo,ano_fim_ciclo,dia_ocorrencia,mes_ocorrencia,ano_ocorrencia,delta_days
2490,0,parda,2018-11-07,2020-12-24,15 a 19 anos,1.067,18.0,UFPI - CTF,2021-02-21,Região Nordeste,"1,0<RFP<=1,5",Masculino,Matutino,PI,Colégio Técnico de Floriano da UFPI,7,11,2018,24,12,2020,21,2,2021,837
2686,0,parda,2018-03-30,2020-12-22,20 a 24 anos,1.067,23.0,UFPI - CAT,2021-12-21,Região Nordeste,Não declarada,Masculino,Matutino,PI,Colégio Técnico de Teresina da UFPI,30,3,2018,22,12,2020,21,12,2021,1362
2790,0,preta,2018-02-19,2020-12-22,20 a 24 anos,1.067,21.0,UFPI - CABJ,2021-12-23,Região Nordeste,"1,0<RFP<=1,5",Masculino,Matutino,PI,Colégio Técnico de Bom Jesus da UFPI,19,2,2018,22,12,2020,23,12,2021,1403
3600,1,preta,2021-04-22,2023-12-29,15 a 19 anos,1.067,16.0,UFRPE - CODAI,2021-05-01,Região Nordeste,"1,0<RFP<=1,5",Masculino,Matutino,PE,Colégio Agrícola Dom Agostinho Ikas da UFRPE,22,4,2021,29,12,2023,1,5,2021,9
3840,1,parda,2020-02-05,2022-12-16,15 a 19 anos,1.067,17.0,UFCG - ETSC,2021-08-01,Região Nordeste,"0,5<RFP<=1,0",Feminino,Matutino,PB,Escola Técnica de Saúde de Cajazeiras da UFCG,5,2,2020,16,12,2022,1,8,2021,543
2790,0,parda,2019-02-19,2021-12-17,15 a 19 anos,1.067,18.0,UFPI - CABJ,2021-12-01,Região Nordeste,"1,0<RFP<=1,5",Feminino,Matutino,PI,Colégio Técnico de Bom Jesus da UFPI,19,2,2019,17,12,2021,1,12,2021,1016
4560,0,parda,2018-04-06,2021-02-06,15 a 19 anos,1.067,18.0,CPII,2021-07-01,Região Sudeste,"0,5<RFP<=1,0",Masculino,Vespertino,RJ,Campus Realengo II,6,4,2018,6,2,2021,1,7,2021,1182
4560,0,parda,2018-04-06,2021-02-06,15 a 19 anos,1.067,19.0,CPII,2021-07-01,Região Sudeste,"0<RFP<=0,5",Masculino,Vespertino,RJ,Campus São Cristóvão III,6,4,2018,6,2,2021,1,7,2021,1182
4560,0,parda,2018-04-06,2021-02-06,15 a 19 anos,1.067,19.0,CPII,2021-05-01,Região Sudeste,"1,5<RFP<=2,5",Masculino,Vespertino,RJ,Campus Niterói,6,4,2018,6,2,2021,1,5,2021,1121
4560,0,parda,2018-04-06,2021-02-06,15 a 19 anos,1.067,18.0,CPII,2021-05-01,Região Sudeste,"1,5<RFP<=2,5",Masculino,Vespertino,RJ,Campus Niterói,6,4,2018,6,2,2021,1,5,2021,1121
4560,0,parda,2018-04-06,2021-02-06,15 a 19 anos,1.067,18.0,CPII,2021-05-01,Região Sudeste,"1,5<RFP<=2,5",Masculino,Vespertino,RJ,Campus Niterói,6,4,2018,6,2,2021,1,5,2021,1121
4560,0,parda,2018-04-06,2021-02-06,15 a 19 anos,1.067,19.0,CPII,2021-05-01,Região Sudeste,"2,5<RFP<=3,5",Masculino,Vespertino,RJ,Campus Niterói,6,4,2018,6,2,2021,1,5,2021,1121
