Carga Horária,Categoria da Situação,Código da Matrícula,Cor/Raça,Data de Início do Ciclo,Data de Fim Previsto do Ciclo,Faixa Etária,Fator Esforço Curso,Idade,Instituição,Mês de Ocorrência da Situação,Região,Renda Familiar,Sexo,Turno,UF,Unidade de Ensino
4560,Concluintes,72304660,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2020-01-01,Região Sudeste,"1,0<RFP<=1,5",Feminino,Matutino,RJ,Campus São Cristóvão III
4560,Concluintes,72725045,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,19.0,CPII,2020-01-01,Região Sudeste,"1,0<RFP<=1,5",Feminino,Matutino,RJ,Campus Duque de Caxias CP
4560,Concluintes,72808890,branca,2017-04-07,2019-12-21,20 a 24 anos,1.0,20.0,CPII,2020-01-01,Região Sudeste,"2,5<RFP<=3,5",Feminino,Matutino,RJ,Campus Humaitá II
4560,Concluintes,72808820,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2020-01-01,Região Sudeste,"2,5<RFP<=3,5",Feminino,Matutino,RJ,Campus Humaitá II
4560,Concluintes,72753054,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2020-01-01,Região Sudeste,Não declarada,Feminino,Matutino,RJ,Campus Realengo II
4560,Concluintes,72306734,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,19.0,CPII,2020-01-01,Região Sudeste,Não declarada,Feminino,Matutino,RJ,Campus São Cristóvão III
2600,Evadidos,89884648,branca,2019-03-01,2021-12-22,15 a 19 anos,1.0,17.0,UFV - CEDAF,2020-01-01,Região Sudeste,"RFP>3,5",Feminino,Matutino,MG,Centro de Ensino e Desenvolvimento Agrário da UFV
4560,Evadidos,85562378,não declarada,2018-04-06,2021-02-06,20 a 24 anos,1.0,20.0,CPII,2020-08-01,Região Sudeste,"1,0<RFP<=1,5",Feminino,Matutino,RJ,Campus Humaitá II
4560,Concluintes,72753260,não declarada,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2020-01-01,Região Sudeste,"RFP>3,5",Feminino,Matutino,RJ,Campus Realengo II
4560,Concluintes,72313341,parda,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2020-01-01,Região Sudeste,"0,5<RFP<=1,0",Feminino,Matutino,RJ,Campus São Cristóvão III
4560,Concluintes,72725059,parda,2017-04-07,2019-12-21,15 a 19 anos,1.0,19.0,CPII,2020-01-01,Região Sudeste,"1,0<RFP<=1,5",Feminino,Matutino,RJ,Campus Duque de Caxias CP
4560,Concluintes,72752580,parda,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2020-01-01,Região Sudeste,Não declarada,Feminino,Matutino,RJ,Campus Realengo II
4560,Evadidos,85741424,preta,2018-04-06,2021-02-06,15 a 19 anos,1.0,19.0,CPII,2020-03-01,Região Sudeste,"2,5<RFP<=3,5",Feminino,Matutino,RJ,Campus Duque de Caxias CP
4560,Evadidos,71419296,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,19.0,CPII,2020-01-01,Região Sudeste,"0,5<RFP<=1,0",Feminino,Noturno,RJ,Campus Humaitá II
4560,Concluintes,72492126,amarela,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2020-01-01,Região Sudeste,"RFP>3,5",Feminino,Vespertino,RJ,Campus Niterói
4560,Concluintes,72356081,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,19.0,CPII,2020-01-01,Região Sudeste,"0,5<RFP<=1,0",Feminino,Vespertino,RJ,Campus São Cristóvão III
4560,Concluintes,72803511,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,19.0,CPII,2020-01-01,Região Sudeste,"0,5<RFP<=1,0",Feminino,Vespertino,RJ,Campus Humaitá II
4560,Concluintes,72490118,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,19.0,CPII,2020-01-01,Região Sudeste,"0,5<RFP<=1,0",Feminino,Vespertino,RJ,Campus Niterói
4560,Concluintes,72753364,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,19.0,CPII,2020-01-01,Região Sudeste,"0<RFP<=0,5",Feminino,Vespertino,RJ,Campus Realengo II
4560,Concluintes,72800239,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,19.0,CPII,2020-01-01,Região Sudeste,"0<RFP<=0,5",Feminino,Vespertino,RJ,Campus Humaitá II
4560,Concluintes,72522578,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,19.0,CPII,2020-01-01,Região Sudeste,"1,5<RFP<=2,5",Feminino,Vespertino,RJ,Campus Niterói
4560,Concluintes,72457081,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2020-01-01,Região Sudeste,"1,5<RFP<=2,5",Feminino,Vespertino,RJ,Campus Niterói
4560,Concluintes,73189290,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2020-01-01,Região Sudeste,"RFP>3,5",Feminino,Vespertino,RJ,Campus Realengo II
2580,Concluintes,87033471,parda,2018-02-05,2020-12-20,15 a 19 anos,1.0,18.0,UFCG - ETSC,2020-05-01,Região Nordeste,"0,5<RFP<=1,0",Feminino,Matutino,PB,Escola Técnica de Saúde de Cajazeiras da UFCG
2490,Evadidos,94847900,parda,2020-02-17,2022-12-24,15 a 19 anos,1.0,15.0,UFPI - CTF,2020-02-01,Região Nordeste,"1,0<RFP<=1,5",Feminino,Matutino,PI,Colégio Técnico de Floriano da UFPI
2580,Concluintes,87033497,branca,2018-02-05,2020-12-20,15 a 19 anos,1.0,18.0,UFCG - ETSC,2020-05-01,Região Nordeste,"0,5<RFP<=1,0",Masculino,Matutino,PB,Escola Técnica de Saúde de Cajazeiras da UFCG
2580,Concluintes,87033453,branca,2018-02-05,2020-12-20,15 a 19 anos,1.0,18.0,UFCG - ETSC,2020-05-01,Região Nordeste,"0,5<RFP<=1,0",Masculino,Matutino,PB,Escola Técnica de Saúde de Cajazeiras da UFCG
2580,Concluintes,87033257,branca,2018-02-05,2020-12-20,15 a 19 anos,1.0,17.0,UFCG - ETSC,2020-12-01,Região Nordeste,"0,5<RFP<=1,0",Masculino,Matutino,PB,Escola Técnica de Saúde de Cajazeiras da UFCG
3560,Evadidos,71734023,não declarada,2017-02-20,2019-12-20,20 a 24 anos,1.0,20.0,UFPI - CABJ,2020-01-01,Região Nordeste,Não declarada,Masculino,Matutino,PI,Colégio Técnico de Bom Jesus da UFPI
3560,Evadidos,71734035,não declarada,2017-02-20,2019-12-20,15 a 19 anos,1.0,19.0,UFPI - CABJ,2020-01-01,Região Nordeste,Não declarada,Masculino,Matutino,PI,Colégio Técnico de Bom Jesus da UFPI
2580,Concluintes,88985750,parda,2018-02-05,2020-12-20,15 a 19 anos,1.0,16.0,UFCG - ETSC,2020-12-01,Região Nordeste,"0<RFP<=0,5",Masculino,Matutino,PB,Escola Técnica de Saúde de Cajazeiras da UFCG
2490,Evadidos,94847904,parda,2020-02-17,2022-12-24,15 a 19 anos,1.0,16.0,UFPI - CTF,2020-02-01,Região Nordeste,"1,5<RFP<=2,5",Masculino,Matutino,PI,Colégio Técnico de Floriano da UFPI
3840,Evadidos,96743131,parda,2020-02-05,2022-12-16,15 a 19 anos,1.0,15.0,UFCG - ETSC,2020-02-01,Região Nordeste,"1,0<RFP<=1,5",Masculino,Matutino,PB,Escola Técnica de Saúde de Cajazeiras da UFCG
2490,Evadidos,93874226,parda,2020-02-17,2022-12-24,15 a 19 anos,1.0,16.0,UFPI - CTF,2020-02-01,Região Nordeste,"1,0<RFP<=1,5",Masculino,Matutino,PI,Colégio Técnico de Floriano da UFPI
2490,Evadidos,94847902,parda,2020-02-17,2022-12-24,15 a 19 anos,1.0,16.0,UFPI - CTF,2020-02-01,Região Nordeste,"1,0<RFP<=1,5",Masculino,Matutino,PI,Colégio Técnico de Floriano da UFPI
